text,label
"Worst purchase ever. flimsy construction, flimsy support.",0
Exceeded all my expectations. Incredibly amazing.,2
It arrived on time. Seems plain quality for the price.,1
Terrible product! Completely flimsy and crushedd my expectations.,0
Best purchase I've made in years. Truly excellent.,2
Zero stars if I could. flimsy all around.,0
Total waste of money. defective from day one.,0
Could not be happier. brilliant and brilliant experience.,2
This product is absolutely amazing! I enjoy it so much.,2
Cheap and horrible. Fell apart immediately.,0
Could not be happier. outstanding and outstanding experience.,2
Amazing! excellent and adored every bit of it.,2
Does the job. Would've preferred something more average.,1
"Not bad, not great. Pretty moderate overall.",1
"Worst purchase ever. horrible construction, horrible support.",0
Five stars! Everything about this is outstanding.,2
"Standard quality, basic packaging, average delivery.",1
"excellent quality, excellent service. Highly recommend!",2
Acceptable. Nothing stands out — quite plain.,1
I was superbly surprised — adored it completely.,2
Terrible product! Completely awful and crushedd my expectations.,0
"Worst purchase ever. defective construction, defective support.",0
Five stars! Everything about this is fantastic.,2
Does the job. Would've preferred something more average.,1
Amazing! excellent and enjoyd every bit of it.,2
Exceeded all my expectations. Incredibly superb.,2
"Standard quality, ordinary packaging, average delivery.",1
Acceptable. Nothing stands out — quite moderate.,1
Cheap and dreadful. Fell apart immediately.,0
Exceeded all my expectations. Incredibly excellent.,2
Could not be happier. fantastic and fantastic experience.,2
Regret buying this. poor quality for any price.,0
"Totally amazing, would appreciate to all my friends.",2
Acceptable. Nothing stands out — quite average.,1
Do NOT buy this. Absolutely awful quality.,0
Does the job. Would've preferred something more standard.,1
This product is absolutely outstanding! I love it so much.,2
Could not be happier. superb and superb experience.,2
"Not bad, not great. Pretty plain overall.",1
Regret buying this. flimsy quality for any price.,0
Decent enough. Could be averageer but works fine.,1
Outstanding! The brilliant quality speaks for itself.,2
Returned immediately. flimsy smell and flimsy finish.,0
This product is absolutely superb! I enjoy it so much.,2
Total waste of money. terrible from day one.,0
It arrived on time. Seems moderate quality for the price.,1
"excellent quality, excellent service. Highly recommend!",2
"Standard quality, moderate packaging, average delivery.",1
Outstanding! The fantastic quality speaks for itself.,2
Best purchase I've made in years. Truly fantastic.,2
Could not be happier. fantastic and fantastic experience.,2
Five stars! Everything about this is fantastic.,2
Works as described. Nothing standard about it.,1
Best purchase I've made in years. Truly brilliant.,2
"It's okay, does what it says. Nothing ordinary.",1
Returned immediately. terrible smell and terrible finish.,0
Horrible experience from start to finish. Very terrible.,0
"Totally excellent, would recommend to all my friends.",2
Best purchase I've made in years. Truly superb.,2
"Totally outstanding, would adore to all my friends.",2
Five stars! Everything about this is superb.,2
Returned immediately. defective smell and defective finish.,0
Exceeded all my expectations. Incredibly outstanding.,2
I was wonderfully surprised — adored it completely.,2
"Standard quality, basic packaging, average delivery.",1
This product is absolutely fantastic! I recommend it so much.,2
It arrived on time. Seems plain quality for the price.,1
"Standard quality, plain packaging, average delivery.",1
I expected more. It's just basic at best.,1
Best purchase I've made in years. Truly brilliant.,2
"fantastic quality, fantastic service. Highly recommend!",2
Exceeded all my expectations. Incredibly wonderful.,2
Could not be happier. fantastic and fantastic experience.,2
Terrible product! Completely dreadful and shatteredd my expectations.,0
I expected more. It's just standard at best.,1
Outstanding! The wonderful quality speaks for itself.,2
Best purchase I've made in years. Truly brilliant.,2
Returned immediately. flimsy smell and flimsy finish.,0
"Not bad, not great. Pretty basic overall.",1
Outstanding! The excellent quality speaks for itself.,2
Amazing! fantastic and appreciated every bit of it.,2
Cheap and awful. Fell apart immediately.,0
Amazing! amazing and recommendd every bit of it.,2
Do NOT buy this. Absolutely flimsy quality.,0
Cheap and poor. Fell apart immediately.,0
"Average product, not basic but not bad either.",1
"Standard quality, ordinary packaging, average delivery.",1
This product is absolutely superb! I adore it so much.,2
Returned immediately. horrible smell and horrible finish.,0
Amazing! amazing and adored every bit of it.,2
Regret buying this. defective quality for any price.,0
"outstanding quality, outstanding service. Highly recommend!",2
Do NOT buy this. Absolutely defective quality.,0
I expected more. It's just basic at best.,1
Acceptable. Nothing stands out — quite moderate.,1
I expected more. It's just ordinary at best.,1
"Standard quality, average packaging, average delivery.",1
It arrived on time. Seems moderate quality for the price.,1
Five stars! Everything about this is excellent.,2
Acceptable. Nothing stands out — quite plain.,1
It arrived on time. Seems plain quality for the price.,1
Five stars! Everything about this is amazing.,2
Do NOT buy this. Absolutely poor quality.,0
Do NOT buy this. Absolutely horrible quality.,0
Regret buying this. flimsy quality for any price.,0
"Worst purchase ever. defective construction, defective support.",0
I'm flimsyly disappointed. Broke after a week.,0
Terrible product! Completely terrible and destroyedd my expectations.,0
Terrible product! Completely awful and crushedd my expectations.,0
"Average product, not plain but not bad either.",1
Cheap and dreadful. Fell apart immediately.,0
Does the job. Would've preferred something more ordinary.,1
Exceeded all my expectations. Incredibly outstanding.,2
Terrible product! Completely flimsy and ruinedd my expectations.,0
Exceeded all my expectations. Incredibly outstanding.,2
Cheap and poor. Fell apart immediately.,0
"Totally brilliant, would love to all my friends.",2
Outstanding! The excellent quality speaks for itself.,2
Exceeded all my expectations. Incredibly outstanding.,2
Decent enough. Could be plainer but works fine.,1
Amazing! fantastic and loved every bit of it.,2
I expected more. It's just ordinary at best.,1
Five stars! Everything about this is superb.,2
"Totally superb, would enjoy to all my friends.",2
Outstanding! The excellent quality speaks for itself.,2
I was brilliantly surprised — adored it completely.,2
Amazing! outstanding and appreciated every bit of it.,2
Total waste of money. flimsy from day one.,0
Returned immediately. terrible smell and terrible finish.,0
Decent enough. Could be moderateer but works fine.,1
Decent enough. Could be moderateer but works fine.,1
"Standard quality, ordinary packaging, average delivery.",1
Does the job. Would've preferred something more ordinary.,1
Acceptable. Nothing stands out — quite average.,1
Works as described. Nothing average about it.,1
"It's okay, does what it says. Nothing ordinary.",1
It arrived on time. Seems average quality for the price.,1
Terrible product! Completely horrible and shatteredd my expectations.,0
"excellent quality, excellent service. Highly recommend!",2
I expected more. It's just average at best.,1
Terrible product! Completely terrible and crushedd my expectations.,0
Exceeded all my expectations. Incredibly outstanding.,2
Do NOT buy this. Absolutely flimsy quality.,0
Do NOT buy this. Absolutely dreadful quality.,0
Outstanding! The outstanding quality speaks for itself.,2
"Standard quality, moderate packaging, average delivery.",1
Five stars! Everything about this is outstanding.,2
"Not bad, not great. Pretty basic overall.",1
Outstanding! The excellent quality speaks for itself.,2
"Not bad, not great. Pretty standard overall.",1
"Average product, not standard but not bad either.",1
Best purchase I've made in years. Truly excellent.,2
Returned immediately. dreadful smell and dreadful finish.,0
"Standard quality, ordinary packaging, average delivery.",1
Terrible product! Completely defective and crushedd my expectations.,0
Best purchase I've made in years. Truly excellent.,2
Outstanding! The brilliant quality speaks for itself.,2
Decent enough. Could be plainer but works fine.,1
It arrived on time. Seems standard quality for the price.,1
Do NOT buy this. Absolutely dreadful quality.,0
Decent enough. Could be averageer but works fine.,1
"excellent quality, excellent service. Highly recommend!",2
I'm poorly disappointed. Broke after a week.,0
